Case_ID,Class,URL
90421,"['airship, dirigible']",http://www.mufoncms.com/files_jeud8334j/90421_submitter_file1__IMG2018022416514901.jpeg
90421,"['web site, website, internet site, site']",http://www.mufoncms.com/files_jeud8334j/90421_submitter_file2__Screenshot2018022522320801.jpeg
90421,['geyser'],http://www.mufoncms.com/files_jeud8334j/90421_submitter_file3__IMG2018022416514902.jpeg
90812,"['flagpole, flagstaff']",http://www.mufoncms.com/files_jeud8334j/90812_submitter_file1__073E9E926B0E49AF9F92CF28A2536E2F.jpeg
90812,['planetarium'],http://www.mufoncms.com/files_jeud8334j/90812_submitter_file2__E7A6F0C7E9F3419C8E1F7EEE06679D3C.jpeg
90428,"['hook, claw']",http://www.mufoncms.com/files_jeud8334j/90428_submitter_file1__DSCN1957.jpg
91032,"['tub, vat']",http://www.mufoncms.com/files_jeud8334j/91032_submitter_file1__6B2B55228B1843618E99DA8BBCCF4907.jpeg
90710,"['nematode, nematode worm, roundworm']",http://www.mufoncms.com/files_jeud8334j/90710_submitter_file2__1.jpg
90710,"['laptop, laptop computer']",http://www.mufoncms.com/files_jeud8334j/90710_submitter_file3__2.jpg
90710,['projector'],http://www.mufoncms.com/files_jeud8334j/90710_submitter_file4__3.jpg
4828,"['traffic light, traffic signal, stoplight']",http://www.mufoncms.com/u2/files_jeud8334j/4828_submitter_file1__ac1.jpg
4828,"['traffic light, traffic signal, stoplight']",http://www.mufoncms.com/u2/files_jeud8334j/4828_submitter_file2__ac2.jpg
4828,"['traffic light, traffic signal, stoplight']",http://www.mufoncms.com/u2/files_jeud8334j/4828_submitter_file3__ac3.jpg
91082,"['radio telescope, radio reflector']",http://www.mufoncms.com/files_jeud8334j/91082_submitter_file1__D2EBEDA9DF854ECEA99A1E5B6A80272F.jpeg
91082,"['lakeside, lakeshore']",http://www.mufoncms.com/files_jeud8334j/91082_submitter_file2__114AC76BDD4F467987291036E310EE8B.jpeg
91082,['water tower'],http://www.mufoncms.com/files_jeud8334j/91082_submitter_file3__1C7AFCCC7CA249CEB7C6B41990F4456E.jpeg
91082,['water tower'],http://www.mufoncms.com/files_jeud8334j/91082_submitter_file4__9E70FD8FEE7A477A83AC28BABDFE1D0C.jpeg
91082,"['parachute, chute']",http://www.mufoncms.com/files_jeud8334j/91082_submitter_file5__45E025AA0ED14786810C581CDD5FE4C9.jpeg
90557,['crane'],http://www.mufoncms.com/files_jeud8334j/90557_submitter_file1__20180304125753HDR.jpg
90557,['kite'],http://www.mufoncms.com/files_jeud8334j/90557_submitter_file2__20180304125753HDR11.jpg
90557,"['parachute, chute']",http://www.mufoncms.com/files_jeud8334j/90557_submitter_file3__20180304125753HDR111.jpg
91089,"['mobile home, manufactured home']",http://www.mufoncms.com/files_jeud8334j/91089_submitter_file1__9586C2C9BF9645A5A0687E77356C7BFC.jpeg
91257,"['web site, website, internet site, site']",http://www.mufoncms.com/files_jeud8334j/91257_submitter_file1__Screenshot1.png
91257,"['web site, website, internet site, site']",http://www.mufoncms.com/files_jeud8334j/91257_submitter_file2__Screenshot2.png
90778,['volcano'],http://www.mufoncms.com/files_jeud8334j/90778_submitter_file1__20180314201742.jpg
90778,['volcano'],http://www.mufoncms.com/files_jeud8334j/90778_submitter_file2__20180314201737.jpg
90778,['geyser'],http://www.mufoncms.com/files_jeud8334j/90778_submitter_file3__20180314201643.jpg
90778,['volcano'],http://www.mufoncms.com/files_jeud8334j/90778_submitter_file4__20180314201245.jpg
90778,['missile'],http://www.mufoncms.com/files_jeud8334j/90778_submitter_file5__20180314201639.jpg
90677,"['corkscrew, bottle screw']",http://www.mufoncms.com/files_jeud8334j/90677_submitter_file1__NTM2LDUwNCxBQUFBQUJnQy1BRTEtNA2.jpg
91251,['envelope'],http://www.mufoncms.com/files_jeud8334j/91251_submitter_file2__20180404141226.jpg
90770,['jellyfish'],http://www.mufoncms.com/files_jeud8334j/90770_submitter_file1__20180310055347.jpg
90770,['jellyfish'],http://www.mufoncms.com/files_jeud8334j/90770_submitter_file2__20180310055401.jpg
90770,['jellyfish'],http://www.mufoncms.com/files_jeud8334j/90770_submitter_file3__20180310055439.jpg
90770,"['beacon, lighthouse, beacon light, pharos']",http://www.mufoncms.com/files_jeud8334j/90770_submitter_file4__20180310055458.jpg
90770,['mortarboard'],http://www.mufoncms.com/files_jeud8334j/90770_submitter_file5__20180310055503.jpg
90104,['missile'],http://www.mufoncms.com/files_jeud8334j/90104_submitter_file3__DSC00023copy.jpg
90107,['manhole cover'],http://www.mufoncms.com/files_jeud8334j/90107_submitter_file1__2E2305AB85F349C9891CC59130740028.png
90107,['car mirror'],http://www.mufoncms.com/files_jeud8334j/90107_submitter_file2__5AC22CF5AF19491BB806C269F003EF24.jpeg
